fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
4.2,1.53,1.56,0.83,0.44,1.57,1.31,1.24,1.2,1.12,1
2.05,0.12,0.95,0.44,1.14,1.84,0.92,0.34,0.43,0.56,1
1.81,0.88,0.61,0.26,1.12,1.85,1.15,0.42,0.57,0.46,1
1.46,0.75,0.97,0.72,0.76,0.45,0.72,0.35,0.4,0.34,1
1.3,0.83,1.11,0.38,1.92,1.3,0.44,0.58,0.31,0.88,1
1.37,1.22,1.75,0.73,1.46,2.2,1.33,0.41,0.13,0.86,1
1.34,0.24,0.87,0.81,0.21,1.01,0.89,0.08,0.87,0.79,1
0.56,0.47,0.33,0.41,1.38,0.89,0.93,0.68,0.33,0.41,1
0.48,0.06,0.55,0.4,1.63,1.95,1.01,0.3,0.5,0.24,1
0.67,0.13,0.8,0.58,1.19,1.43,0.95,0.36,0.55,0.6,1
0.46,0.76,0.21,0.94,1.5,1.08,0.39,0.93,1.15,0.86,1
1.26,0.94,0.94,0.74,1.4,1.34,0.41,0.64,0.51,0.61,1
1.73,1.45,1.94,0.69,0.91,1.41,0.72,0.24,0.32,0.38,1
2.12,1.32,1.61,0.87,1.2,0.94,0.52,0.32,0.21,0.59,1
3.95,0.85,0.11,0.8,1.22,1.31,0.85,0.54,0.56,1.36,1
1.45,0.76,0.45,0.54,1.1,1.66,0.94,0.46,0.41,0.25,1
2.58,0.56,1.21,0.68,1.04,0.81,0.98,1.04,0.53,0.96,1
2.62,0.1,0.46,0.11,0.83,1.34,1.3,1.07,1.31,1.53,1
2.84,1.24,1.11,0.22,1.04,0.92,1.19,1.01,0.48,0.92,1
2.46,0.42,0.76,1.06,0.18,0.59,0.79,0.64,0.5,0.43,1
0.98,0.84,0.74,0.26,0.54,1.21,0.48,0.46,0.77,0.81,1
0.88,0.53,0.76,0.23,0.73,1.07,0.68,0.84,0.92,0.46,1
0.14,0.91,1.56,0.91,0.89,1.04,1.1,0.61,0.54,0.5,1
1.3,2.18,2.26,1.13,1.35,0.9,0.08,0.44,0.45,0.55,1
0.18,1.64,1.54,0.85,1.41,1.29,0.3,0.63,0.65,1.01,1
0.77,0.91,0.74,0.66,1.87,1.51,0.44,0.45,0.63,0.59,1
0.19,0.58,0.24,0.2,0.79,0.77,0.27,0.72,0.48,0.28,1
0.29,1.41,1.12,0.48,0.99,0.75,0.33,0.3,0.67,1.34,1
1.07,1.28,1.56,0.76,1.45,1.26,0.82,0.78,0.72,0.05,1
0.55,0.56,0.92,0.13,0.94,0.56,0.28,0.76,0.3,0.64,1
0.88,0.76,1.32,1.02,1.12,1.46,1.28,0.89,0.5,0.41,1
0.16,1.23,1.22,0.25,0.69,1.04,0.58,0.57,0.41,0.3,1
0.57,0.98,1.34,0.26,0.92,1.02,0.84,0.59,0.45,0.25,1
0.3,0.24,0.64,1.08,1.07,0.54,0.05,0.3,0.18,0.08,1
0.48,1.07,1.39,0.59,0.98,0.76,0.6,0.55,0.22,1.06,1
0.96,1.5,1.21,1.36,0.95,0.69,0.8,0.18,0.39,0.6,1
